   29  855  1044  1036  1049  1105  1100  1084  996  1021  1111  1102  1061  1000  998  1057  1134  1046  1018  1016  1021  1131  1094  1119  1053  966  1077  1040  1051  1097
    1    1
   22  30  30  30  31  31  31  30  31  22  31  30  31  30  23  30  30  30  30  31  31  30  31  30  31  30  23  31  31  29  27
   392  400  400  401  400  400  401  401  402  392  400  401  402  401  393  398  400  401  401  401  399  399  399  401  402  400  393  402  400  399  29
    2    2
   25  33  33  33  34  34  34  33  34  25  34  33  33  33  26  33  33  33  33  34  34  33  33  33  34  33  26  34  34  32  27
   392  400  401  401  400  400  401  401  402  392  400  401  402  401  393  398  400  401  401  401  399  399  399  401  402  400  393  401  400  399  29
    3    3
   25  32  32  33  33  33  33  32  33  25  33  33  33  33  25  33  32  33  32  33  33  32  33  33  33  33  25  34  33  31  27
   393  401  402  402  401  401  402  402  403  393  401  402  403  402  394  399  401  402  402  402  400  400  400  402  403  401  394  402  401  400  29
    4    4
   24  31  31  31  32  32  32  31  32  24  32  31  32  31  24  31  31  31  31  32  32  31  32  32  32  31  24  32  32  30  26
   394  403  403  403  403  403  404  404  405  395  403  404  405  404  396  401  403  404  404  404  402  402  402  404  405  403  396  404  403  402  29
    5    5
   24  31  31  32  32  32  32  32  32  24  32  32  32  32  24  31  31  32  31  32  32  31  32  32  32  32  24  32  32  30  27
   395  404  403  403  403  403  404  404  405  395  403  404  405  404  396  402  403  404  404  404  402  402  403  404  405  404  396  404  403  402  28
    6    6
   24  31  32  32  33  32  33  32  33  24  32  32  32  32  25  32  32  32  32  33  32  32  32  32  32  32  24  33  32  31  27
   393  402  402  402  402  401  403  403  403  393  401  402  404  403  394  400  401  402  403  403  401  401  401  402  403  402  394  403  402  400  30
    7    7
   25  33  33  33  34  33  34  33  34  25  33  33  33  33  25  33  33  33  33  34  33  33  33  33  34  33  25  34  34  32  28
   391  400  400  400  400  400  401  401  402  392  400  400  402  401  393  399  400  401  401  401  399  399  399  401  402  401  393  401  400  399  29
    8    8
   25  32  33  33  33  33  34  33  33  25  33  33  33  33  25  33  32  33  33  33  33  32  33  33  33  33  25  34  33  31  27
   390  399  399  400  399  399  400  400  401  391  399  399  401  400  392  398  399  400  400  400  398  398  399  400  401  400  392  400  399  398  29
    9    9
   19  26  27  27  28  27  28  27  28  19  27  27  27  27  20  27  27  27  27  28  27  27  27  27  27  27  19  28  28  26  27
   389  398  398  398  398  398  399  399  400  390  398  398  400  399  391  396  397  399  399  399  396  396  397  398  400  398  391  399  398  397  29
   10   10
   25  32  32  33  34  33  33  33  33  25  33  33  27  27  25  33  32  33  27  33  33  32  33  33  33  33  25  34  33  31  30
   390  399  399  399  399  398  399  400  400  390  398  399  401  400  391  397  398  399  400  400  397  397  397  399  400  399  391  400  398  397  30
   11   11
   25  32  33  33  34  33  33  33  34  25  34  33  33  33  26  33  33  33  33  34  33  33  33  33  33  33  25  34  34  32  27
   391  400  401  401  400  400  401  401  402  392  400  400  402  402  393  398  400  401  401  402  399  399  399  401  402  400  393  401  400  399  30
   12   12
   21  29  29  29  30  30  30  29  30  21  30  29  29  29  22  29  29  29  29  30  30  29  29  29  30  29  22  30  30  28  27
   393  401  401  401  401  401  402  402  403  393  401  402  403  402  394  399  401  402  402  402  400  400  400  402  403  401  394  402  401  400  28
   13   13
   22  29  29  29  30  30  30  29  30  21  30  29  30  29  22  29  29  29  29  30  30  29  30  30  30  29  22  30  30  28  27
   393  401  401  401  401  401  402  402  403  393  401  402  403  402  394  400  401  402  402  402  400  400  401  402  403  401  394  402  401  400  28
   14   14
   24  31  32  32  33  32  33  32  32  24  32  32  32  32  24  32  31  32  32  32  32  31  32  32  32  32  24  33  32  30  27
   391  400  400  400  400  400  401  401  402  392  400  400  402  401  393  399  400  401  401  401  399  399  399  401  402  400  393  401  400  399  29
   15   15
